"","service_date","time","route_id","route_name","trip_freq","trip_freq_adj","sub_route","trip_id","stop_id","departure_terminal","mbta_sched_departure","actual_departure","pax_on","pax_load","pax_off","mbta_sched_arrival","actual_arrival","arrival_terminal","vessel_time_slot","trip_endpoint","travel_direction","ObjectId","week"
"46","2021/01/06","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","17:15-F4-CNY-LWS","17:15-F4-CNY-LWS","Navy Yard","2021/01/06 22:15:00+00","2021-01-06 17:15:00",0,0,0,"2021/01/06 22:25:00+00","2021-01-06 17:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",108531,"Wednesday"
"47","2021/01/07","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","19:00-F4-LWS-CNY","19:00-F4-LWS-CNY","Long Wharf S","2021/01/08 00:00:00+00","2021-01-07 19:00:00",0,0,0,"2021/01/08 00:10:00+00","2021-01-07 19:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",108616,"Thursday"
"48","2021/01/06","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","09:45-F4-CNY-LWS","09:45-F4-CNY-LWS","Navy Yard","2021/01/06 14:45:00+00","2021-01-06 09:45:00",0,0,0,"2021/01/06 14:55:00+00","2021-01-06 09:55:00","Long Wharf S","Primary","Trip Endpoint","To Boston",108699,"Wednesday"
"49","2021/01/04","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","07:30-F4-CNY-LWS","07:30-F4-CNY-LWS","Navy Yard","2021/01/04 12:30:00+00","2021-01-04 07:30:00",0,0,0,"2021/01/04 12:40:00+00","2021-01-04 07:40:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",108781,"Monday"
"50","2021/06/09","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","18:45-F4-CNY-LWS","18:45-F4-CNY-LWS","Navy Yard","2021/06/09 22:45:00+00","2021-06-09 18:45:00",7,7,-7,"2021/06/09 22:55:00+00","2021-06-09 18:55:00","Long Wharf S","Primary","Trip Endpoint","To Boston",110498,"Wednesday"
"51","2021/06/07","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","12:45-F4-CNY-LWS","12:45-F4-CNY-LWS","Navy Yard","2021/06/07 16:45:00+00","2021-06-07 12:45:00",9,9,-9,"2021/06/07 16:55:00+00","2021-06-07 12:55:00","Long Wharf S","Primary","Trip Endpoint","To Boston",110580,"Monday"
"52","2021/06/10","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","17:15-F4-CNY-LWS","17:15-F4-CNY-LWS","Navy Yard","2021/06/10 21:15:00+00","2021-06-10 17:15:00",14,14,-14,"2021/06/10 21:25:00+00","2021-06-10 17:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",110583,"Thursday"
"53","2021/06/08","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","16:45-F4-LWS-CNY","16:45-F4-LWS-CNY","Long Wharf S","2021/06/08 20:45:00+00","2021-06-08 16:45:00",2,2,-2,"2021/06/08 20:55:00+00","2021-06-08 16:55:00","Navy Yard","Secondary","Trip Endpoint","From Boston",110665,"Tuesday"
"54","2021/06/09","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","16:15-F4-LWS-CNY","16:15-F4-LWS-CNY","Long Wharf S","2021/06/09 20:15:00+00","2021-06-09 16:15:00",5,5,-5,"2021/06/09 20:25:00+00","2021-06-09 16:25:00","Navy Yard","Secondary","Trip Endpoint","From Boston",110666,"Wednesday"
"55","2021/06/10","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","18:15-F4-CNY-LWS","18:15-F4-CNY-LWS","Navy Yard","2021/06/10 22:15:00+00","2021-06-10 18:15:00",5,5,-5,"2021/06/10 22:25:00+00","2021-06-10 18:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",110667,"Thursday"
"56","2021/06/08","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","12:45-F4-CNY-LWS","12:45-F4-CNY-LWS","Navy Yard","2021/06/08 16:45:00+00","2021-06-08 12:45:00",19,19,-19,"2021/06/08 16:55:00+00","2021-06-08 12:55:00","Long Wharf S","Primary","Trip Endpoint","To Boston",110749,"Tuesday"
"57","2021/06/11","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","16:30-F4-LWS-CNY","16:30-F4-LWS-CNY","Long Wharf S","2021/06/11 20:30:00+00","2021-06-11 16:30:00",7,7,-7,"2021/06/11 20:40:00+00","2021-06-11 16:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",110836,"Friday"
"58","2021/06/13","04:00:00+00","F4","F4-Charlestown","S-S","Covid","F4-Charlestown-Boston","12:15-F4-CNY-LWS","12:15-F4-CNY-LWS","Navy Yard","2021/06/13 16:15:00+00","2021-06-13 12:15:00",21,21,-21,"2021/06/13 16:25:00+00","2021-06-13 12:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",111006,"Sunday"
"59","2021/07/05","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","06:45-F4-CNY-LWS","06:45-F4-CNY-LWS","Navy Yard","2021/07/05 10:45:00+00","2021-07-05 06:45:00",1,1,-1,"2021/07/05 10:55:00+00","2021-07-05 06:55:00","Long Wharf S","Primary","Trip Endpoint","To Boston",112015,"Monday"
"60","2021/07/11","04:00:00+00","F4","F4-Charlestown","S-S","Covid","F4-Boston-Charlestown","10:30-F4-LWS-CNY","10:30-F4-LWS-CNY","Long Wharf S","2021/07/11 14:30:00+00","2021-07-11 10:30:00",15,15,-15,"2021/07/11 14:40:00+00","2021-07-11 10:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",112441,"Sunday"
"61","2021/07/08","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","17:15-F4-CNY-LWS","17:15-F4-CNY-LWS","Navy Yard","2021/07/08 21:15:00+00","2021-07-08 17:15:00",22,22,-22,"2021/07/08 21:25:00+00","2021-07-08 17:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",112522,"Thursday"
"62","2021/07/11","04:00:00+00","F4","F4-Charlestown","S-S","Covid","F4-Boston-Charlestown","18:00-F4-LWS-CNY","18:00-F4-LWS-CNY","Long Wharf S","2021/07/11 22:00:00+00","2021-07-11 18:00:00",27,27,-27,"2021/07/11 22:10:00+00","2021-07-11 18:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",112609,"Sunday"
"63","2021/07/09","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","15:30-F4-LWS-CNY","15:30-F4-LWS-CNY","Long Wharf S","2021/07/09 19:30:00+00","2021-07-09 15:30:00",5,5,-5,"2021/07/09 19:40:00+00","2021-07-09 15:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",112691,"Friday"
"64","2021/07/06","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","14:00-F4-LWS-CNY","14:00-F4-LWS-CNY","Long Wharf S","2021/07/06 18:00:00+00","2021-07-06 14:00:00",6,6,-6,"2021/07/06 18:10:00+00","2021-07-06 14:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",112772,"Tuesday"
